scenario,policy,replica,n_total,n_small,n_large,n_errors,mean_ms,p50_ms,p95_ms,p99_ms,mean_ms_small,p95_ms_small,p99_ms_small,mean_ms_large,p95_ms_large,p99_ms_large,throughput_rps,fairness_cv
A,fifo,49,6000,6000,0,0,0.416,0.404,0.476,0.562,0.416,0.476,0.562,nan,nan,nan,99.997,0.10009
A,fifo,50,6000,6000,0,0,0.414,0.404,0.471,0.542,0.414,0.471,0.542,nan,nan,nan,99.999,0.0976
A,sff,1,6000,6000,0,0,0.414,0.404,0.471,0.547,0.414,0.471,0.547,nan,nan,nan,99.993,0.09499
A,sff,2,6000,6000,0,0,0.413,0.402,0.47,0.541,0.413,0.47,0.541,nan,nan,nan,99.995,0.10046
A,sff,3,6000,6000,0,0,0.414,0.403,0.473,0.55,0.414,0.473,0.55,nan,nan,nan,99.998,0.09661
A,sff,4,6000,6000,0,0,0.414,0.403,0.473,0.555,0.414,0.473,0.555,nan,nan,nan,99.994,0.10632
A,sff,5,6000,6000,0,0,0.414,0.403,0.47,0.544,0.414,0.47,0.544,nan,nan,nan,99.998,0.10179
A,sff,6,6000,6000,0,0,0.414,0.403,0.471,0.558,0.414,0.471,0.558,nan,nan,nan,99.996,0.09797
A,sff,7,6000,6000,0,0,0.413,0.403,0.467,0.551,0.413,0.467,0.551,nan,nan,nan,99.994,0.09957
A,sff,8,6000,6000,0,0,0.415,0.404,0.474,0.552,0.415,0.474,0.552,nan,nan,nan,99.997,0.09975
A,sff,9,6000,6000,0,0,0.414,0.403,0.47,0.542,0.414,0.47,0.542,nan,nan,nan,99.995,0.09968
A,sff,10,6000,6000,0,0,0.414,0.403,0.471,0.553,0.414,0.471,0.553,nan,nan,nan,99.992,0.09869
A,sff,11,6000,6000,0,0,0.416,0.404,0.481,0.555,0.416,0.481,0.555,nan,nan,nan,99.998,0.10533
A,sff,12,6000,6000,0,0,0.415,0.404,0.471,0.553,0.415,0.471,0.553,nan,nan,nan,99.994,0.10377
A,sff,13,6000,6000,0,0,0.415,0.404,0.473,0.548,0.415,0.473,0.548,nan,nan,nan,99.997,0.10281
A,sff,14,6000,6000,0,0,0.416,0.405,0.476,0.553,0.416,0.476,0.553,nan,nan,nan,99.993,0.10044
A,sff,15,6000,6000,0,0,0.414,0.404,0.47,0.553,0.414,0.47,0.553,nan,nan,nan,99.996,0.1039
A,sff,16,6000,6000,0,0,0.415,0.404,0.469,0.539,0.415,0.469,0.539,nan,nan,nan,99.994,0.1022
A,sff,17,6000,6000,0,0,0.415,0.404,0.472,0.557,0.415,0.472,0.557,nan,nan,nan,99.994,0.09794
A,sff,18,6000,6000,0,0,0.414,0.403,0.473,0.544,0.414,0.473,0.544,nan,nan,nan,99.992,0.10006
A,sff,19,6000,6000,0,0,0.414,0.404,0.474,0.548,0.414,0.474,0.548,nan,nan,nan,99.996,0.09931
A,sff,20,6000,6000,0,0,0.412,0.402,0.463,0.54,0.412,0.463,0.54,nan,nan,nan,99.992,0.10097
A,sff,21,6000,6000,0,0,0.413,0.403,0.466,0.537,0.413,0.466,0.537,nan,nan,nan,99.996,0.10154
A,sff,22,6000,6000,0,0,0.414,0.403,0.472,0.558,0.414,0.472,0.558,nan,nan,nan,99.998,0.1017
A,sff,23,6000,6000,0,0,0.415,0.403,0.474,0.557,0.415,0.474,0.557,nan,nan,nan,99.995,0.10524
A,sff,24,6000,6000,0,0,0.413,0.403,0.466,0.544,0.413,0.466,0.544,nan,nan,nan,99.996,0.09239
A,sff,25,6000,6000,0,0,0.414,0.403,0.471,0.538,0.414,0.471,0.538,nan,nan,nan,99.998,0.10501
A,sff,26,6000,6000,0,0,0.414,0.403,0.475,0.547,0.414,0.475,0.547,nan,nan,nan,99.993,0.0992
A,sff,27,6000,6000,0,0,0.414,0.404,0.468,0.558,0.414,0.468,0.558,nan,nan,nan,99.999,0.09842
A,sff,28,6000,6000,0,0,0.413,0.403,0.468,0.546,0.413,0.468,0.546,nan,nan,nan,99.998,0.10008
A,sff,29,6000,6000,0,0,0.413,0.403,0.467,0.553,0.413,0.467,0.553,nan,nan,nan,99.999,0.09934
A,sff,30,6000,6000,0,0,0.413,0.403,0.467,0.542,0.413,0.467,0.542,nan,nan,nan,99.998,0.09926
A,sff,31,6000,6000,0,0,0.414,0.403,0.47,0.554,0.414,0.47,0.554,nan,nan,nan,99.998,0.09981
A,sff,32,6000,6000,0,0,0.415,0.404,0.474,0.557,0.415,0.474,0.557,nan,nan,nan,99.997,0.09895
A,sff,33,6000,6000,0,0,0.414,0.404,0.468,0.549,0.414,0.468,0.549,nan,nan,nan,99.998,0.09905
A,sff,34,6000,6000,0,0,0.413,0.403,0.472,0.544,0.413,0.472,0.544,nan,nan,nan,99.995,0.09617
A,sff,35,6000,6000,0,0,0.412,0.402,0.465,0.548,0.412,0.465,0.548,nan,nan,nan,100.0,0.10232
A,sff,36,6000,6000,0,0,0.414,0.404,0.473,0.554,0.414,0.473,0.554,nan,nan,nan,99.998,0.10059
A,sff,37,6000,6000,0,0,0.414,0.403,0.472,0.553,0.414,0.472,0.553,nan,nan,nan,99.994,0.10344
A,sff,38,6000,6000,0,0,0.413,0.403,0.468,0.536,0.413,0.468,0.536,nan,nan,nan,99.998,0.09889
A,sff,39,6000,6000,0,0,0.414,0.403,0.473,0.547,0.414,0.473,0.547,nan,nan,nan,99.998,0.10085
A,sff,40,6000,6000,0,0,0.414,0.404,0.466,0.538,0.414,0.466,0.538,nan,nan,nan,99.994,0.09552
A,sff,41,6000,6000,0,0,0.414,0.404,0.467,0.551,0.414,0.467,0.551,nan,nan,nan,99.996,0.09432
A,sff,42,6000,6000,0,0,0.415,0.403,0.476,0.548,0.415,0.476,0.548,nan,nan,nan,99.993,0.10349
A,sff,43,6000,6000,0,0,0.414,0.403,0.476,0.555,0.414,0.476,0.555,nan,nan,nan,99.993,0.10349
A,sff,44,6000,6000,0,0,0.414,0.404,0.469,0.549,0.414,0.469,0.549,nan,nan,nan,99.996,0.10004
A,sff,45,6000,6000,0,0,0.415,0.404,0.468,0.553,0.415,0.468,0.553,nan,nan,nan,99.994,0.09703
A,sff,46,6000,6000,0,0,0.415,0.404,0.472,0.546,0.415,0.472,0.546,nan,nan,nan,99.992,0.09608
A,sff,47,6000,6000,0,0,0.414,0.403,0.474,0.556,0.414,0.474,0.556,nan,nan,nan,99.997,0.10358
A,sff,48,6000,6000,0,0,0.414,0.403,0.472,0.54,0.414,0.472,0.54,nan,nan,nan,99.994,0.10072
A,sff,49,6000,6000,0,0,0.414,0.404,0.468,0.543,0.414,0.468,0.543,nan,nan,nan,99.992,0.10165
A,sff,50,6000,6000,0,0,0.414,0.403,0.472,0.543,0.414,0.472,0.543,nan,nan,nan,99.997,0.10074
B,fifo,1,6000,4240,1760,0,0.552,0.419,0.919,0.995,0.419,0.479,0.543,0.872,0.974,1.084,99.994,0.38656
B,fifo,2,6000,4218,1782,0,0.557,0.419,0.925,1.012,0.42,0.483,0.566,0.883,0.99,1.136,99.992,0.39413
B,fifo,3,6000,4247,1753,0,0.552,0.421,0.918,0.998,0.421,0.478,0.555,0.87,0.975,1.127,99.996,0.3869
B,fifo,4,6000,4146,1854,0,0.546,0.423,0.913,0.99,0.422,0.481,0.56,0.826,0.962,1.098,99.993,0.36813
B,fifo,5,6000,4167,1833,0,0.544,0.421,0.917,0.985,0.422,0.483,0.561,0.823,0.963,1.053,99.995,0.36455
B,fifo,6,6000,4192,1808,0,0.542,0.422,0.91,0.983,0.421,0.48,0.559,0.822,0.957,1.066,99.992,0.36483
B,fifo,7,6000,4233,1767,0,0.551,0.42,0.913,0.989,0.419,0.474,0.542,0.867,0.963,1.094,99.992,0.38457
B,fifo,8,6000,4247,1753,0,0.54,0.421,0.908,0.988,0.423,0.494,0.572,0.824,0.959,1.098,99.993,0.36332
B,fifo,9,6000,4204,1796,0,0.54,0.421,0.911,0.982,0.421,0.486,0.553,0.819,0.963,1.072,99.995,0.36256
B,fifo,10,6000,4229,1771,0,0.553,0.422,0.913,0.983,0.422,0.48,0.564,0.867,0.963,1.118,99.998,0.38216
B,fifo,11,6000,4220,1780,0,0.542,0.421,0.919,0.982,0.421,0.481,0.562,0.83,0.963,1.082,99.998,0.36805
B,fifo,12,6000,4146,1854,0,0.56,0.422,0.921,0.991,0.421,0.481,0.55,0.872,0.967,1.102,99.993,0.38646
B,fifo,13,6000,4281,1719,0,0.549,0.419,0.918,0.993,0.42,0.48,0.562,0.871,0.976,1.066,100.0,0.39492
B,fifo,14,6000,4163,1837,0,0.543,0.422,0.911,0.983,0.421,0.482,0.557,0.818,0.955,1.054,99.996,0.36315
B,fifo,15,6000,4220,1780,0,0.555,0.421,0.918,1.0,0.42,0.48,0.558,0.875,0.972,1.104,99.998,0.38798
B,fifo,16,6000,4246,1754,0,0.54,0.42,0.919,0.99,0.421,0.481,0.558,0.827,0.968,1.067,99.996,0.36758
B,fifo,17,6000,4208,1792,0,0.556,0.42,0.921,1.012,0.421,0.485,0.563,0.874,0.982,1.144,99.994,0.38867
B,fifo,18,6000,4254,1746,0,0.553,0.42,0.925,0.999,0.421,0.483,0.56,0.875,0.977,1.12,99.997,0.38874
B,fifo,19,6000,4214,1786,0,0.54,0.42,0.915,0.978,0.42,0.477,0.55,0.824,0.962,1.032,99.993,0.36722
B,fifo,20,6000,4131,1869,0,0.545,0.422,0.913,0.986,0.419,0.474,0.549,0.823,0.961,1.059,99.995,0.36931
B,fifo,21,6000,4199,1801,0,0.564,0.423,0.925,1.007,0.422,0.485,0.557,0.894,0.978,1.074,99.995,0.3928
B,fifo,22,6000,4173,1827,0,0.566,0.42,0.928,1.007,0.42,0.483,0.555,0.898,0.978,1.128,99.994,0.39999
B,fifo,23,6000,4264,1736,0,0.539,0.42,0.919,0.976,0.42,0.479,0.549,0.831,0.963,1.041,99.992,0.37088
B,fifo,24,6000,4232,1768,0,0.554,0.419,0.922,1.0,0.419,0.477,0.554,0.878,0.978,1.128,99.993,0.3917
B,fifo,25,6000,4146,1854,0,0.561,0.423,0.926,1.019,0.422,0.483,0.56,0.873,0.985,1.141,99.992,0.3882
B,fifo,26,6000,4206,1794,0,0.558,0.42,0.932,1.006,0.42,0.479,0.556,0.882,0.98,1.136,99.995,0.39416
B,fifo,27,6000,4221,1779,0,0.543,0.42,0.926,0.995,0.42,0.478,0.548,0.834,0.975,1.073,100.0,0.37335
B,fifo,28,6000,4190,1810,0,0.558,0.422,0.926,0.992,0.422,0.483,0.563,0.873,0.969,1.088,99.997,0.38736
B,fifo,29,6000,4157,1843,0,0.561,0.422,0.921,0.996,0.421,0.482,0.571,0.875,0.972,1.14,99.993,0.3876
B,fifo,30,6000,4225,1775,0,0.54,0.42,0.923,0.981,0.42,0.48,0.565,0.825,0.965,1.051,99.997,0.36849
B,fifo,31,6000,4196,1804,0,0.558,0.422,0.92,0.996,0.422,0.48,0.553,0.875,0.97,1.096,99.996,0.38588
B,fifo,32,6000,4149,1851,0,0.546,0.422,0.919,0.987,0.42,0.482,0.552,0.828,0.966,1.096,99.998,0.36981
B,fifo,33,6000,4197,1803,0,0.543,0.42,0.919,0.979,0.42,0.483,0.555,0.828,0.962,1.036,99.994,0.36766
B,fifo,34,6000,4225,1775,0,0.557,0.42,0.932,1.003,0.421,0.48,0.574,0.881,0.979,1.069,99.997,0.39252
B,fifo,35,6000,4226,1774,0,0.557,0.42,0.933,0.994,0.421,0.484,0.556,0.88,0.976,1.09,99.995,0.39111
B,fifo,36,6000,4242,1758,0,0.539,0.42,0.915,0.984,0.42,0.477,0.561,0.826,0.965,1.033,99.993,0.36763
B,fifo,37,6000,4201,1799,0,0.547,0.42,0.93,1.007,0.421,0.481,0.576,0.84,0.98,1.076,99.994,0.37634
B,fifo,38,6000,4220,1780,0,0.564,0.421,0.933,1.015,0.421,0.48,0.557,0.902,0.986,1.131,99.993,0.39786
B,fifo,39,6000,4248,1752,0,0.542,0.419,0.926,0.99,0.42,0.48,0.56,0.836,0.973,1.04,100.0,0.3727
B,fifo,40,6000,4226,1774,0,0.549,0.428,0.93,0.993,0.425,0.491,0.563,0.844,0.974,1.103,99.994,0.37234
B,fifo,41,6000,4214,1786,0,0.541,0.421,0.914,0.985,0.422,0.483,0.575,0.821,0.962,1.088,99.994,0.36346
B,fifo,42,6000,4262,1738,0,0.538,0.419,0.917,0.995,0.42,0.479,0.549,0.826,0.973,1.1,99.996,0.36908
B,fifo,43,6000,4161,1839,0,0.56,0.422,0.925,0.991,0.422,0.483,0.561,0.873,0.971,1.097,99.995,0.3866
B,fifo,44,6000,4210,1790,0,0.537,0.42,0.91,0.98,0.419,0.476,0.558,0.815,0.96,1.058,99.995,0.36175
B,fifo,45,6000,4213,1787,0,0.544,0.42,0.922,0.99,0.42,0.478,0.556,0.837,0.969,1.113,99.998,0.37381
B,fifo,46,6000,4229,1771,0,0.539,0.42,0.92,0.984,0.42,0.479,0.555,0.824,0.97,1.079,99.996,0.37007
B,fifo,47,6000,4269,1731,0,0.54,0.419,0.924,0.989,0.42,0.482,0.565,0.834,0.972,1.06,99.999,0.3716
B,fifo,48,6000,4216,1784,0,0.556,0.421,0.925,0.985,0.42,0.477,0.541,0.876,0.965,1.081,99.994,0.38891
B,fifo,49,6000,4223,1777,0,0.543,0.422,0.924,0.992,0.422,0.486,0.565,0.83,0.974,1.092,99.998,0.37239
B,fifo,50,6000,4169,1831,0,0.546,0.422,0.917,0.982,0.422,0.488,0.565,0.828,0.966,1.049,99.993,0.36624
B,sff,1,6000,4240,1760,0,0.555,0.42,0.927,1.004,0.421,0.477,0.555,0.88,0.976,1.123,99.992,0.39021
B,sff,2,6000,4218,1782,0,0.542,0.421,0.917,0.987,0.42,0.48,0.551,0.83,0.962,1.063,99.994,0.37019
B,sff,3,6000,4247,1753,0,0.539,0.421,0.916,0.977,0.421,0.476,0.55,0.826,0.958,1.06,99.996,0.36632
B,sff,4,6000,4146,1854,0,0.58,0.421,0.921,0.985,0.42,0.482,0.556,0.937,0.965,1.068,99.992,4.58362
B,sff,5,6000,4167,1833,0,0.559,0.422,0.92,0.985,0.421,0.487,0.553,0.872,0.965,1.068,99.997,0.3845
B,sff,6,6000,4192,1808,0,0.546,0.422,0.928,1.0,0.42,0.481,0.553,0.837,0.981,1.086,99.998,0.37559
B,sff,7,6000,4233,1767,0,0.554,0.42,0.926,0.993,0.421,0.481,0.558,0.874,0.977,1.106,99.995,0.38714
B,sff,8,6000,4247,1753,0,0.539,0.418,0.919,0.986,0.419,0.479,0.555,0.827,0.965,1.072,99.995,0.37108
B,sff,9,6000,4204,1796,0,0.542,0.421,0.92,0.988,0.42,0.481,0.545,0.828,0.976,1.072,99.994,0.36901
B,sff,10,6000,4229,1771,0,0.543,0.419,0.928,0.988,0.42,0.478,0.549,0.835,0.975,1.084,99.992,0.3745
B,sff,11,6000,4220,1780,0,0.557,0.422,0.93,1.001,0.421,0.478,0.552,0.88,0.982,1.107,99.996,0.39086
B,sff,12,6000,4146,1854,0,0.571,0.423,0.936,1.023,0.421,0.48,0.546,0.906,0.994,1.141,99.996,0.40058
B,sff,13,6000,4281,1719,0,0.54,0.419,0.928,0.999,0.42,0.478,0.547,0.837,0.98,1.108,99.999,0.37447
B,sff,14,6000,4163,1837,0,0.549,0.422,0.93,1.005,0.422,0.482,0.573,0.838,0.978,1.084,99.999,0.3751
B,sff,15,6000,4220,1780,0,0.557,0.421,0.926,0.987,0.422,0.486,0.569,0.879,0.971,1.09,99.996,0.38961
B,sff,16,6000,4246,1754,0,0.538,0.418,0.915,0.979,0.42,0.488,0.576,0.824,0.965,1.09,99.998,0.36651
B,sff,17,6000,4208,1792,0,0.546,0.421,0.93,0.999,0.421,0.478,0.554,0.839,0.977,1.086,99.998,0.37552
B,sff,18,6000,4254,1746,0,0.541,0.42,0.925,0.987,0.421,0.478,0.549,0.833,0.972,1.082,99.998,0.37267
B,sff,19,6000,4214,1786,0,0.546,0.423,0.926,0.994,0.422,0.488,0.553,0.837,0.975,1.081,100.0,0.37251
B,sff,20,6000,4131,1869,0,0.554,0.431,0.933,0.999,0.424,0.49,0.558,0.841,0.978,1.067,99.997,0.37387
B,sff,21,6000,4199,1801,0,0.545,0.42,0.926,0.997,0.42,0.474,0.548,0.838,0.976,1.072,99.997,0.37563
B,sff,22,6000,4173,1827,0,0.554,0.42,0.927,0.99,0.419,0.476,0.554,0.862,0.972,1.11,99.993,0.38851
B,sff,23,6000,4264,1736,0,0.541,0.421,0.927,0.999,0.421,0.481,0.557,0.836,0.981,1.077,99.994,0.3758
B,sff,24,6000,4232,1768,0,0.545,0.422,0.925,0.993,0.421,0.484,0.566,0.84,0.975,1.096,99.999,0.37627
B,sff,25,6000,4146,1854,0,0.562,0.421,0.931,1.006,0.42,0.478,0.545,0.879,0.979,1.074,99.999,0.39202
B,sff,26,6000,4206,1794,0,0.559,0.42,0.929,1.003,0.42,0.478,0.557,0.887,0.979,1.14,100.0,0.39662
B,sff,27,6000,4221,1779,0,0.541,0.419,0.923,0.992,0.42,0.481,0.564,0.83,0.972,1.048,99.997,0.37132
B,sff,28,6000,4190,1810,0,0.547,0.423,0.927,0.997,0.422,0.485,0.583,0.834,0.978,1.092,99.997,0.37314
B,sff,29,6000,4157,1843,0,0.563,0.423,0.931,1.013,0.422,0.486,0.573,0.881,0.981,1.131,99.998,0.39277
B,sff,30,6000,4225,1775,0,0.543,0.421,0.928,0.991,0.421,0.479,0.557,0.833,0.975,1.067,99.999,0.37238
B,sff,31,6000,4196,1804,0,0.56,0.421,0.937,1.014,0.421,0.481,0.558,0.885,0.984,1.151,99.996,0.395
B,sff,32,6000,4149,1851,0,0.563,0.421,0.933,1.009,0.42,0.481,0.57,0.883,0.987,1.11,99.995,0.39474
B,sff,33,6000,4197,1803,0,0.558,0.419,0.935,1.003,0.419,0.476,0.564,0.88,0.98,1.143,99.993,0.39541
B,sff,34,6000,4225,1775,0,0.542,0.42,0.928,0.987,0.42,0.48,0.55,0.833,0.973,1.059,99.994,0.37266
B,sff,35,6000,4226,1774,0,0.543,0.421,0.929,0.993,0.421,0.483,0.56,0.834,0.972,1.101,99.996,0.37326
B,sff,36,6000,4242,1758,0,0.556,0.418,0.935,1.016,0.419,0.478,0.56,0.886,0.987,1.14,100.0,0.39782
B,sff,37,6000,4201,1799,0,0.544,0.421,0.93,0.993,0.42,0.479,0.549,0.833,0.975,1.115,99.992,0.37494
B,sff,38,6000,4220,1780,0,0.546,0.424,0.932,0.993,0.423,0.485,0.559,0.836,0.978,1.097,99.997,0.3729
B,sff,39,6000,4248,1752,0,0.543,0.42,0.931,0.993,0.421,0.479,0.549,0.838,0.977,1.063,99.995,0.37577
B,sff,40,6000,4226,1774,0,0.559,0.422,0.933,1.016,0.421,0.483,0.56,0.886,0.99,1.139,99.996,0.39388
B,sff,41,6000,4214,1786,0,0.545,0.421,0.934,1.0,0.421,0.483,0.564,0.836,0.98,1.101,99.995,0.37516
B,sff,42,6000,4262,1738,0,0.539,0.421,0.926,0.991,0.421,0.48,0.554,0.829,0.977,1.064,99.998,0.36976
B,sff,43,6000,4161,1839,0,0.565,0.424,0.937,1.02,0.423,0.489,0.568,0.886,0.987,1.128,99.999,0.39388
B,sff,44,6000,4210,1790,0,0.555,0.423,0.914,0.988,0.422,0.484,0.548,0.868,0.966,1.087,99.995,0.38245
B,sff,45,6000,4213,1787,0,0.539,0.42,0.908,0.968,0.419,0.475,0.541,0.821,0.953,1.035,99.992,0.36412
