scenario,policy,replica,n_total,n_small,n_large,n_errors,mean_ms,p50_ms,p95_ms,p99_ms,mean_ms_small,p95_ms_small,p99_ms_small,mean_ms_large,p95_ms_large,p99_ms_large,throughput_rps,fairness_cv
C,fifo,9,30000,24009,5991,0,0.492,0.404,0.885,0.917,0.405,0.437,0.468,0.841,0.916,0.965,499.996,0.36405
C,fifo,10,30000,24010,5990,0,0.494,0.405,0.894,0.924,0.406,0.45,0.47,0.844,0.924,0.978,499.992,0.36596
C,fifo,11,30000,24038,5962,0,0.491,0.404,0.889,0.917,0.405,0.44,0.469,0.835,0.917,0.967,499.996,0.36062
C,fifo,12,30000,24084,5916,0,0.49,0.404,0.888,0.916,0.406,0.442,0.472,0.835,0.916,0.964,499.994,0.35953
C,fifo,13,30000,24112,5888,0,0.491,0.405,0.892,0.921,0.405,0.439,0.468,0.84,0.922,0.972,499.997,0.36396
C,fifo,14,30000,24060,5940,0,0.49,0.404,0.888,0.918,0.406,0.449,0.47,0.83,0.917,0.962,499.993,0.35771
C,fifo,15,30000,24052,5948,0,0.492,0.404,0.89,0.916,0.405,0.438,0.468,0.841,0.916,0.964,499.993,0.36485
C,fifo,16,30000,23954,6046,0,0.493,0.404,0.891,0.919,0.405,0.436,0.466,0.841,0.918,0.958,499.992,0.36606
C,fifo,17,30000,23893,6107,0,0.495,0.404,0.891,0.923,0.405,0.437,0.469,0.847,0.922,0.966,499.992,0.36921
C,fifo,18,30000,24004,5996,0,0.494,0.404,0.894,0.922,0.405,0.438,0.468,0.848,0.922,0.962,499.998,0.36959
C,fifo,19,30000,24064,5936,0,0.493,0.405,0.894,0.922,0.406,0.448,0.469,0.845,0.922,0.968,499.995,0.36504
C,fifo,20,30000,24033,5967,0,0.492,0.405,0.892,0.92,0.406,0.443,0.47,0.838,0.92,0.961,499.998,0.36168
C,fifo,21,30000,23842,6158,0,0.496,0.405,0.891,0.918,0.406,0.437,0.468,0.847,0.917,0.957,499.992,0.36886
C,fifo,22,30000,23995,6005,0,0.492,0.405,0.892,0.919,0.406,0.447,0.469,0.837,0.919,0.964,499.998,0.36238
C,fifo,23,30000,23979,6021,0,0.492,0.403,0.889,0.917,0.405,0.439,0.477,0.836,0.916,0.965,500.0,0.36701
C,fifo,24,30000,23939,6061,0,0.494,0.405,0.893,0.923,0.406,0.441,0.47,0.839,0.923,0.965,499.994,0.36456
C,fifo,25,30000,23998,6002,0,0.492,0.405,0.891,0.918,0.406,0.44,0.47,0.838,0.917,0.961,499.992,0.36235
C,fifo,26,30000,24031,5969,0,0.49,0.404,0.89,0.917,0.405,0.442,0.469,0.833,0.917,0.967,499.992,0.3606
C,fifo,27,30000,23940,6060,0,0.493,0.405,0.891,0.916,0.405,0.44,0.47,0.838,0.916,0.958,499.997,0.36395
C,fifo,28,30000,24037,5963,0,0.494,0.404,0.894,0.92,0.406,0.441,0.469,0.851,0.92,0.962,499.992,0.36927
C,fifo,29,30000,24055,5945,0,0.494,0.405,0.893,0.921,0.406,0.441,0.473,0.851,0.921,0.966,499.992,0.36865
C,fifo,30,30000,23987,6013,0,0.491,0.404,0.892,0.917,0.405,0.44,0.467,0.835,0.917,0.959,499.999,0.36211
C,fifo,31,30000,24132,5868,0,0.492,0.404,0.89,0.917,0.405,0.439,0.469,0.849,0.917,0.962,499.997,0.36756
C,fifo,32,30000,24037,5963,0,0.491,0.403,0.891,0.92,0.405,0.441,0.469,0.842,0.92,0.969,499.999,0.36596
C,fifo,33,30000,23994,6006,0,0.492,0.404,0.884,0.91,0.405,0.438,0.468,0.841,0.91,0.948,499.998,0.3631
C,fifo,34,30000,24036,5964,0,0.49,0.403,0.88,0.91,0.404,0.437,0.467,0.836,0.91,0.951,499.999,0.36095
C,fifo,35,30000,24136,5864,0,0.489,0.403,0.884,0.913,0.405,0.44,0.469,0.833,0.913,0.953,499.994,0.35894
C,fifo,36,30000,24037,5963,0,0.487,0.404,0.865,0.892,0.405,0.439,0.47,0.819,0.892,0.935,499.998,0.34846
C,fifo,37,30000,24074,5926,0,0.491,0.405,0.872,0.906,0.407,0.451,0.471,0.833,0.906,0.948,499.991,0.35409
C,fifo,38,30000,24072,5928,0,0.488,0.403,0.867,0.9,0.404,0.435,0.466,0.829,0.9,0.936,499.995,0.35526
C,fifo,39,30000,24017,5983,0,0.489,0.403,0.869,0.901,0.405,0.437,0.466,0.826,0.9,0.944,499.999,0.35665
C,fifo,40,30000,23943,6057,0,0.492,0.405,0.871,0.904,0.406,0.45,0.47,0.832,0.903,0.943,499.991,0.35625
C,fifo,41,30000,23942,6058,0,0.491,0.404,0.868,0.901,0.405,0.439,0.468,0.831,0.901,0.945,499.995,0.35673
C,fifo,42,30000,24123,5877,0,0.487,0.404,0.873,0.906,0.405,0.439,0.468,0.825,0.906,0.94,499.991,0.35218
C,fifo,43,30000,23896,6104,0,0.491,0.404,0.874,0.909,0.406,0.449,0.47,0.827,0.908,0.947,499.994,0.35592
C,fifo,44,30000,23926,6074,0,0.491,0.404,0.873,0.905,0.405,0.438,0.468,0.828,0.905,0.946,499.995,0.35575
C,fifo,45,30000,24014,5986,0,0.489,0.404,0.872,0.906,0.405,0.438,0.467,0.827,0.906,0.947,499.994,0.35512
C,fifo,46,30000,24018,5982,0,0.488,0.404,0.867,0.896,0.406,0.441,0.472,0.82,0.895,0.941,499.992,0.35221
C,fifo,47,30000,23920,6080,0,0.49,0.404,0.87,0.899,0.405,0.44,0.469,0.822,0.899,0.936,499.997,0.35283
C,fifo,48,30000,23951,6049,0,0.489,0.404,0.869,0.896,0.405,0.437,0.47,0.823,0.896,0.947,499.996,0.35271
C,fifo,49,30000,23987,6013,0,0.488,0.403,0.868,0.895,0.404,0.438,0.467,0.82,0.895,0.938,499.998,0.35201
C,fifo,50,30000,23987,6013,0,0.49,0.405,0.869,0.898,0.407,0.449,0.47,0.823,0.898,0.947,499.992,0.35064
C,sff,1,30000,24030,5970,0,0.49,0.404,0.867,0.895,0.405,0.447,0.472,0.829,0.895,0.939,499.994,0.35411
C,sff,2,30000,24091,5909,0,0.49,0.404,0.869,0.9,0.405,0.438,0.471,0.833,0.9,0.943,499.996,0.35659
C,sff,3,30000,24032,5968,0,0.489,0.405,0.871,0.9,0.406,0.438,0.469,0.821,0.9,0.942,499.998,0.34997
C,sff,4,30000,23992,6008,0,0.488,0.403,0.868,0.896,0.404,0.438,0.467,0.825,0.895,0.937,499.999,0.35414
C,sff,5,30000,24025,5975,0,0.489,0.403,0.867,0.896,0.404,0.439,0.468,0.83,0.896,0.937,499.994,0.356
C,sff,6,30000,24005,5995,0,0.495,0.404,0.87,0.899,0.405,0.439,0.47,0.856,0.899,0.933,499.993,2.37382
C,sff,7,30000,24084,5916,0,0.489,0.404,0.868,0.9,0.405,0.438,0.466,0.832,0.901,0.942,500.0,0.3564
C,sff,8,30000,24139,5861,0,0.488,0.405,0.868,0.897,0.406,0.448,0.47,0.822,0.897,0.931,499.995,0.3493
C,sff,9,30000,24009,5991,0,0.49,0.405,0.872,0.906,0.406,0.438,0.468,0.825,0.906,0.95,499.993,0.3521
C,sff,10,30000,24010,5990,0,0.489,0.404,0.875,0.908,0.405,0.436,0.468,0.827,0.908,0.948,499.994,0.35516
C,sff,11,30000,24038,5962,0,0.489,0.404,0.871,0.906,0.405,0.438,0.468,0.826,0.906,0.947,499.999,0.35353
C,sff,12,30000,24084,5916,0,0.49,0.405,0.873,0.902,0.406,0.439,0.469,0.832,0.902,0.948,499.994,0.35562
C,sff,13,30000,24112,5888,0,0.489,0.404,0.873,0.905,0.405,0.436,0.467,0.834,0.905,0.954,499.992,0.35721
C,sff,14,30000,24060,5940,0,0.494,0.404,0.869,0.897,0.405,0.436,0.467,0.855,0.897,0.939,499.996,0.36734
C,sff,15,30000,24052,5948,0,0.489,0.404,0.877,0.909,0.405,0.44,0.473,0.828,0.909,0.953,499.995,0.35607
C,sff,16,30000,23954,6046,0,0.491,0.404,0.879,0.913,0.405,0.448,0.469,0.831,0.912,0.953,499.997,0.35822
C,sff,17,30000,23893,6107,0,0.494,0.404,0.877,0.908,0.406,0.441,0.47,0.838,0.908,0.95,500.0,0.36116
C,sff,18,30000,24004,5996,0,0.491,0.404,0.881,0.914,0.405,0.439,0.468,0.834,0.914,0.958,499.999,0.35953
C,sff,19,30000,24064,5936,0,0.492,0.405,0.889,0.915,0.406,0.44,0.468,0.843,0.915,0.961,499.995,0.36434
C,sff,20,30000,24033,5967,0,0.491,0.404,0.888,0.914,0.405,0.438,0.468,0.836,0.914,0.961,499.999,0.36114
C,sff,21,30000,23842,6158,0,0.495,0.405,0.885,0.914,0.407,0.45,0.47,0.838,0.914,0.953,499.994,0.36209
C,sff,22,30000,23995,6005,0,0.493,0.405,0.885,0.913,0.405,0.44,0.469,0.842,0.913,0.952,499.994,0.36472
C,sff,23,30000,23979,6021,0,0.488,0.404,0.866,0.895,0.405,0.438,0.468,0.822,0.895,0.93,499.999,0.35195
C,sff,24,30000,23939,6061,0,0.49,0.404,0.868,0.897,0.405,0.436,0.468,0.828,0.896,0.946,499.998,0.35554
C,sff,25,30000,23998,6002,0,0.496,0.405,0.873,0.906,0.406,0.44,0.47,0.858,0.906,0.951,499.998,0.36835
C,sff,26,30000,24031,5969,0,0.49,0.404,0.872,0.907,0.405,0.437,0.466,0.834,0.907,0.952,499.998,0.35825
C,sff,27,30000,23940,6060,0,0.49,0.404,0.866,0.897,0.405,0.438,0.47,0.827,0.897,0.941,499.999,0.35491
C,sff,28,30000,24037,5963,0,0.496,0.405,0.871,0.9,0.406,0.439,0.469,0.858,0.9,0.94,499.997,2.47114
C,sff,29,30000,24055,5945,0,0.49,0.405,0.872,0.901,0.406,0.438,0.468,0.831,0.901,0.938,499.993,0.35498
C,sff,30,30000,23987,6013,0,0.492,0.404,0.87,0.903,0.405,0.439,0.471,0.835,0.902,0.945,499.998,0.3581
C,sff,31,30000,24132,5868,0,0.49,0.404,0.87,0.903,0.406,0.441,0.473,0.833,0.903,0.946,499.994,0.36609
C,sff,32,30000,24037,5963,0,0.491,0.405,0.874,0.905,0.406,0.442,0.469,0.833,0.905,0.943,499.998,0.35668
C,sff,33,30000,23994,6006,0,0.491,0.404,0.875,0.912,0.406,0.449,0.47,0.83,0.911,0.961,499.991,0.35667
C,sff,34,30000,24036,5964,0,0.488,0.404,0.873,0.905,0.405,0.438,0.469,0.823,0.905,0.944,499.997,0.35286
C,sff,35,30000,24136,5864,0,0.488,0.405,0.875,0.909,0.406,0.439,0.471,0.829,0.91,0.951,499.995,0.35396
C,sff,36,30000,24037,5963,0,0.49,0.405,0.881,0.909,0.406,0.438,0.468,0.828,0.909,0.949,499.999,0.35549
C,sff,37,30000,24074,5926,0,0.488,0.405,0.869,0.896,0.405,0.437,0.467,0.823,0.896,0.94,499.996,0.35036
C,sff,38,30000,24072,5928,0,0.495,0.404,0.872,0.902,0.405,0.438,0.468,0.858,0.902,0.954,499.998,0.36856
C,sff,39,30000,24017,5983,0,0.489,0.404,0.872,0.898,0.405,0.44,0.47,0.827,0.898,0.945,499.996,0.35439
C,sff,40,30000,23943,6057,0,0.491,0.405,0.87,0.9,0.406,0.449,0.47,0.825,0.9,0.943,499.992,0.35282
C,sff,41,30000,23942,6058,0,0.491,0.404,0.869,0.896,0.405,0.438,0.469,0.829,0.895,0.939,500.0,0.35586
C,sff,42,30000,24123,5877,0,0.487,0.403,0.867,0.9,0.405,0.44,0.469,0.823,0.9,0.941,499.993,0.35108
C,sff,43,30000,23896,6104,0,0.492,0.404,0.869,0.894,0.405,0.438,0.467,0.832,0.894,0.938,499.999,0.3578
C,sff,44,30000,23926,6074,0,0.49,0.403,0.868,0.899,0.404,0.439,0.469,0.826,0.898,0.939,499.994,0.35601
C,sff,45,30000,24014,5986,0,0.489,0.404,0.869,0.901,0.406,0.45,0.469,0.823,0.901,0.942,499.992,0.35152
C,sff,46,30000,24018,5982,0,0.49,0.405,0.871,0.905,0.406,0.439,0.469,0.831,0.904,0.947,499.997,0.35679
C,sff,47,30000,23920,6080,0,0.489,0.403,0.869,0.898,0.404,0.436,0.464,0.825,0.898,0.939,499.998,0.35564
C,sff,48,30000,23951,6049,0,0.489,0.405,0.87,0.898,0.405,0.437,0.469,0.821,0.897,0.945,499.996,0.35174
C,sff,49,30000,23987,6013,0,0.489,0.404,0.872,0.904,0.405,0.437,0.467,0.823,0.904,0.945,499.999,0.35254
C,sff,50,30000,23987,6013,0,0.49,0.403,0.871,0.9,0.405,0.438,0.468,0.833,0.9,0.939,499.999,0.35796
