ts_ms,file_type,uri,latency_ms,status,bytes_received
17660856.785941,small,/small/small_08.html,2.7614270002231933,200,10332
17660859.660798,small,/small/small_10.html,0.4286620023776777,200,10332
17660860.842772,small,/small/small_09.html,0.5251010006759316,200,10332
17660863.201813,large,/large/large_18.html,1.184313001431292,200,512093
17660864.808952,small,/small/small_49.html,0.47073300083866343,200,10332
17660867.065799,small,/small/small_48.html,0.4632860000128858,200,10332
17660869.191776,small,/small/small_04.html,0.43649999861372635,200,10332
17660871.324163,small,/small/small_35.html,0.42915300218737684,200,10332
17660873.658506,small,/small/small_34.html,0.48832399988896213,200,10332
17660874.833435997,small,/small/small_38.html,0.4699769997387193,200,10332
17660877.175897,small,/small/small_02.html,0.4181240001344122,200,10332
17660879.299495,small,/small/small_26.html,0.4198649985482916,200,10332
17660881.551328,small,/small/small_14.html,0.4240650014253333,200,10332
17660883.911862,small,/small/small_24.html,0.48295499800588004,200,10332
17660884.974869,small,/small/small_16.html,0.4673280018323567,200,10332
17660887.241182,small,/small/small_14.html,0.431970001955051,200,10332
17660889.473672,small,/small/small_43.html,0.4195609981252346,200,10332
17660891.760424998,small,/small/small_04.html,0.48471600166521966,200,10332
17660892.941361997,large,/large/large_12.html,0.9800549996725749,200,512093
17660895.536962997,small,/small/small_10.html,0.412374000006821,200,10332
17660897.884802997,large,/large/large_13.html,1.085208001313731,200,512093
17660899.306612,small,/small/small_48.html,0.4530890000751242,200,10332
17660901.201514,small,/small/small_29.html,0.41763300032471307,200,10332
17660903.286657996,small,/small/small_14.html,0.4202089985483326,200,10332
17660905.624943,small,/small/small_28.html,0.44184299986227416,200,10332
17660907.893463,small,/small/small_13.html,0.4641230007109698,200,10332
17660909.101257,small,/small/small_15.html,0.4230269987601787,200,10332
17660911.236155,small,/small/small_17.html,0.4081190018041525,200,10332
17660913.575775,small,/small/small_22.html,0.41789399983827025,200,10332
17660915.844133,small,/small/small_31.html,0.5053099994256627,200,10332
17660917.047611002,small,/small/small_21.html,0.4349530026956927,200,10332
17660919.212965,large,/large/large_04.html,0.9782699999050237,200,512093
17660921.744957,small,/small/small_20.html,0.46263699914561585,200,10332
17660922.929634,large,/large/large_18.html,0.9490510019531939,200,512093
17660925.480453,small,/small/small_35.html,0.4443100006028544,200,10332
17660927.824563,large,/large/large_10.html,0.9703759969852399,200,512093
17660929.216454,small,/small/small_13.html,0.42751400178531185,200,10332
17660931.336987,small,/small/small_39.html,0.4380940008559264,200,10332
