ts_ms,file_type,uri,latency_ms,status,bytes_received
21347400.560215,small,/small/small_34.html,2.498188001482049,200,10332
21347403.311639,small,/small/small_19.html,0.4248549994372297,200,10332
21347405.57809,small,/small/small_41.html,0.4072779993293807,200,10332
21347406.760989,small,/small/small_09.html,0.46189999920898117,200,10332
21347409.138827,small,/small/small_18.html,0.42261899943696335,200,10332
21347411.233369,large,/large/large_15.html,1.235179999639513,200,512093
21347413.483447,large,/large/large_17.html,0.9499210027570371,200,512093
21347414.784557,large,/large/large_05.html,0.9422410003026016,200,512093
21347417.1976,small,/small/small_13.html,0.44112599789514206,200,10332
21347419.323915,small,/small/small_30.html,0.4247939978085924,200,10332
21347421.654851,large,/large/large_02.html,0.9314019989687949,200,512093
21347422.953443997,small,/small/small_39.html,0.48505199811188504,200,10332
21347425.224027,small,/small/small_17.html,0.42057899918290786,200,10332
21347427.381453,large,/large/large_05.html,0.9938879993569572,200,512093
21347428.749464,small,/small/small_44.html,0.5182909990253393,200,10332
21347431.129839,large,/large/large_04.html,0.9538390004308894,200,512093
21347433.608923,small,/small/small_04.html,0.438840997958323,200,10332
21347434.785138,large,/large/large_11.html,0.9110110004257876,200,512093
21347437.176316,small,/small/small_22.html,0.42954399759764783,200,10332
21347439.314349998,small,/small/small_10.html,0.4169310013821814,200,10332
21347441.652388,small,/small/small_34.html,0.4291160003049299,200,10332
21347442.828495,small,/small/small_19.html,0.4436659983184654,200,10332
21347445.142436,small,/small/small_11.html,0.4624919965863228,200,10332
21347447.229847,large,/large/large_07.html,0.9858800003712531,200,512093
21347448.586449,small,/small/small_34.html,0.4535020016191993,200,10332
21347450.92748,small,/small/small_38.html,0.4746470003738068,200,10332
21347453.192265,small,/small/small_38.html,0.4134940027142875,200,10332
21347455.316905003,small,/small/small_30.html,0.42592200043145567,200,10332
21347457.659392,small,/small/small_08.html,0.48592700113658793,200,10332
21347458.828882,small,/small/small_16.html,0.46099400060484186,200,10332
21347461.051813,small,/small/small_07.html,0.4529549987637438,200,10332
21347463.239476003,small,/small/small_41.html,0.42742499863379635,200,10332
21347465.470613,large,/large/large_11.html,0.8989299967652187,200,512093
21347466.739014,small,/small/small_30.html,0.4687469991040416,200,10332
21347468.995297,small,/small/small_35.html,0.4611469994415529,200,10332
21347471.229282,large,/large/large_08.html,0.9474949983996339,200,512093
21347472.554897998,small,/small/small_03.html,0.4084719985257834,200,10332
21347474.832392,large,/large/large_20.html,0.8798079979897011,200,512093
21347477.159394998,small,/small/small_47.html,0.5786539986729622,200,10332
21347479.399327,small,/small/small_47.html,0.4435230002854951,200,10332
21347480.584666,small,/small/small_38.html,0.4474699999263976,200,10332
21347482.84998,small,/small/small_31.html,0.4629619979823474,200,10332
21347485.169664,small,/small/small_16.html,0.4159419986535795,200,10332
21347487.293553,large,/large/large_15.html,0.9142119997704867,200,512093
21347488.580165002,small,/small/small_47.html,0.4179579991614446,200,10332
21347490.920031,small,/small/small_11.html,0.4726490005850792,200,10332
21347493.184346,small,/small/small_17.html,0.42383700201753527,200,10332
21347495.356307,small,/small/small_12.html,0.44751200039172545,200,10332
21347497.69251,large,/large/large_06.html,0.9679820032033604,200,512093
21347499.060479,small,/small/small_04.html,0.46494900016114116,200,10332
21347501.255411,small,/small/small_04.html,0.4013329998997506,200,10332
21347503.486622002,large,/large/large_08.html,0.8678739977767691,200,512093
21347504.714477,small,/small/small_44.html,0.40580999848316424,200,10332
21347507.096587,small,/small/small_31.html,0.41090000013355166,200,10332
21347509.233264003,small,/small/small_33.html,0.41113299812423065,200,10332
21347511.477126002,small,/small/small_41.html,0.4706250001618173,200,10332
21347512.641361002,small,/small/small_49.html,0.39193100019474514,200,10332
21347514.896702,small,/small/small_11.html,0.4102829989278689,200,10332
21347517.169891004,small,/small/small_11.html,0.41119799789157696,200,10332
21347519.293624,small,/small/small_02.html,0.39666800148552284,200,10332
21347521.636099003,small,/small/small_26.html,0.4151329994783737,200,10332
21347522.802594002,small,/small/small_50.html,0.4196410009171814,200,10332
21347525.12748,small,/small/small_34.html,0.3975649997300934,200,10332
21347527.276605,small,/small/small_35.html,0.5083469986857381,200,10332
21347529.563416,large,/large/large_20.html,0.9243169988621958,200,512093
21347530.859285,small,/small/small_38.html,0.40596799954073504,200,10332
21347533.170685,small,/small/small_41.html,0.39310400097747333,200,10332
21347535.298847,small,/small/small_35.html,0.39646200093557127,200,10332
21347537.638195,small,/small/small_14.html,0.46168100016075186,200,10332
21347538.812174,small,/small/small_03.html,0.40594199890620075,200,10332
21347541.138258,small,/small/small_19.html,0.38914099786779843,200,10332
21347543.281133,small,/small/small_08.html,0.3945379976357799,200,10332
21347545.520049,small,/small/small_33.html,0.42560399742797017,200,10332
21347546.696775,small,/small/small_37.html,0.40535000152885914,200,10332
21347549.03133,large,/large/large_10.html,0.9126980003202334,200,512093
21347551.480833,small,/small/small_08.html,0.40388999696006067,200,10332
21347552.596467003,small,/small/small_12.html,0.39755399848218076,200,10332
21347554.730380002,small,/small/small_02.html,0.4170789979980327,200,10332
21347556.943303,small,/small/small_47.html,0.44578599772648886,200,10332
21347559.035531003,small,/small/small_13.html,0.41329499799758196,200,10332
21347561.271298,small,/small/small_39.html,0.5350909996195696,200,10332
21347563.360646,small,/small/small_03.html,0.4169729982095305,200,10332
21347565.677972,small,/small/small_12.html,0.42849699821090326,200,10332
21347566.852653,small,/small/small_31.html,0.3908889993908815,200,10332
21347569.175424,small,/small/small_29.html,0.3988659991591703,200,10332
21347571.302983,large,/large/large_09.html,0.8812529995338991,200,512093
21347572.560248002,large,/large/large_16.html,0.9198429979733191,200,512093
21347574.999077,small,/small/small_39.html,0.4127729989704676,200,10332
21347577.208429,small,/small/small_22.html,0.41134300045087,200,10332
21347579.46105,small,/small/small_29.html,0.4251419995853212,200,10332
21347580.63445,large,/large/large_16.html,0.8710189977136906,200,512093
21347583.056844,small,/small/small_28.html,0.4126719977648463,200,10332
21347585.233695,large,/large/large_05.html,0.8966989989858121,200,512093
21347587.660926003,large,/large/large_14.html,0.9062450008059386,200,512093
21347588.931375,small,/small/small_50.html,0.41774599958444014,200,10332
