ts_ms,file_type,uri,latency_ms,status,bytes_received
14101889.72218,large,/large/large_19.html,3.2129829996847548,200,512093
14101900.109336,small,/small/small_11.html,0.4503449999901932,200,10332
14101910.245593,small,/small/small_43.html,0.49486100033391267,200,10332
14101920.481614001,small,/small/small_46.html,0.46044900045671966,200,10332
14101930.825285,large,/large/large_05.html,0.9479590007686056,200,512093
14101941.169941999,large,/large/large_10.html,0.968345000728732,200,512093
14101951.309789,large,/large/large_01.html,1.0587199994915863,200,512093
14101961.644556,small,/small/small_47.html,0.4378439989523031,200,10332
14101971.889406001,large,/large/large_04.html,0.993092999124201,200,512093
14101982.173876,small,/small/small_11.html,0.44161199912196025,200,10332
14101992.297527,large,/large/large_15.html,0.9836989993345924,200,512093
14102002.586535,small,/small/small_32.html,0.531932999365381,200,10332
14102012.909271,large,/large/large_03.html,0.9119260012084851,200,512093
14102023.057792999,small,/small/small_17.html,0.4908009996142937,200,10332
14102033.2149,large,/large/large_06.html,0.9142340004473226,200,512093
14102043.521062,small,/small/small_20.html,0.4782699998031603,200,10332
14102053.798273,small,/small/small_42.html,0.4686739994212985,200,10332
14102063.988300001,small,/small/small_03.html,0.4476350004551932,200,10332
14102074.171935001,large,/large/large_11.html,0.9462969992455328,200,512093
14102084.324374,small,/small/small_48.html,0.4722089997812873,200,10332
14102094.5749,small,/small/small_07.html,0.4745620008179685,200,10332
14102099.744252,small,/small/small_39.html,0.4130729994358262,200,10332
14102110.064188,large,/large/large_16.html,0.967374000538257,200,512093
14102120.229105,large,/large/large_09.html,0.9579240013408707,200,512093
14102130.464489,small,/small/small_18.html,0.4610229989339132,200,10332
14102140.660285,large,/large/large_03.html,1.0351589990023058,200,512093
14102150.85428,small,/small/small_10.html,0.5817890014441218,200,10332
14102161.181669,small,/small/small_21.html,0.5218799997237511,200,10332
14102171.295226,small,/small/small_43.html,0.5058209990238538,200,10332
14102181.630056001,small,/small/small_09.html,0.40850500045053195,200,10332
14102191.973633,small,/small/small_17.html,0.4460479995032074,200,10332
14102202.182603,large,/large/large_08.html,1.005029000225477,200,512093
14102212.411626,small,/small/small_16.html,0.43736300176533405,200,10332
14102222.670892999,small,/small/small_09.html,0.4737639992526965,200,10332
14102233.014268,small,/small/small_42.html,0.40226000055554323,200,10332
14102243.16418,small,/small/small_15.html,0.46198699965316337,200,10332
14102253.309672,small,/small/small_20.html,0.44521599920699373,200,10332
14102263.572237,small,/small/small_31.html,0.4074200005561579,200,10332
14102273.902673,small,/small/small_21.html,0.44682900079351384,200,10332
14102284.146514,small,/small/small_12.html,0.47327199899882544,200,10332
14102294.236066,large,/large/large_14.html,0.9339780008303933,200,512093
14102304.486193,small,/small/small_16.html,0.46440799997071736,200,10332
14102314.819437,large,/large/large_02.html,0.9194050016958499,200,512093
14102319.994984,small,/small/small_29.html,0.4689580000558635,200,10332
14102330.232665999,large,/large/large_15.html,0.940739999350626,200,512093
14102340.570853,small,/small/small_49.html,0.5339690014807275,200,10332
14102350.833439,small,/small/small_06.html,0.4024090012535453,200,10332
14102361.176915,large,/large/large_14.html,0.9585339994373498,200,512093
14102371.337931,large,/large/large_18.html,0.9662940010457532,200,512093
14102381.594616,small,/small/small_34.html,0.4290330016374355,200,10332
14102391.937648,small,/small/small_26.html,0.45423899973684456,200,10332
14102402.163294,large,/large/large_10.html,1.0043470010714373,200,512093
14102412.294947,small,/small/small_19.html,0.4248139994160738,200,10332
14102422.547910001,small,/small/small_48.html,0.4276179988664808,200,10332
14102432.886963999,large,/large/large_19.html,0.9308540011261357,200,512093
14102443.132237,small,/small/small_02.html,0.4858430002059322,200,10332
14102453.268315999,large,/large/large_18.html,0.9811809995881049,200,512093
14102463.486767,small,/small/small_42.html,0.42418100019858684,200,10332
14102473.833826,small,/small/small_41.html,0.4635799996322021,200,10332
14102484.153512,small,/small/small_19.html,0.4492150001169648,200,10332
14102494.283598,small,/small/small_25.html,0.43589999950199854,200,10332
14102504.536151,small,/small/small_24.html,0.4331229993113084,200,10332
14102514.868952999,small,/small/small_47.html,0.4241980004735524,200,10332
14102520.050704999,small,/small/small_02.html,0.4225330012559425,200,10332
14102530.158318,small,/small/small_05.html,0.4031570006191032,200,10332
14102540.292466,small,/small/small_15.html,0.44059500032744836,200,10332
14102550.627340999,large,/large/large_17.html,0.9054279998963466,200,512093
14102560.975291,small,/small/small_38.html,0.464668000859092,200,10332
14102571.173019,small,/small/small_29.html,0.4519809990597423,200,10332
14102581.293131,small,/small/small_04.html,0.41688500095915515,200,10332
14102591.582346,small,/small/small_06.html,0.4326880007283762,200,10332
14102601.916175999,small,/small/small_02.html,0.44475200047600083,200,10332
14102612.172905,small,/small/small_45.html,0.4098650006199023,200,10332
14102622.294917999,small,/small/small_12.html,0.41121399954135995,200,10332
14102632.63466,large,/large/large_10.html,0.9034199993038783,200,512093
14102642.955141,small,/small/small_12.html,0.4927460013277596,200,10332
14102653.181189,small,/small/small_50.html,0.44935599908058066,200,10332
14102663.310439,small,/small/small_06.html,0.4110059999220539,200,10332
14102673.645883,small,/small/small_34.html,0.39744599962432403,200,10332
14102683.991152,small,/small/small_46.html,0.44773499939765316,200,10332
14102694.144446,small,/small/small_44.html,0.503317998663988,200,10332
14102704.324214,small,/small/small_30.html,0.46920999920985196,200,10332
14102714.669243,small,/small/small_25.html,0.42199299969070125,200,10332
14102719.762292,small,/small/small_43.html,0.4443749985512113,200,10332
14102730.103946,large,/large/large_05.html,0.945182999203098,200,512093
14102740.226780001,small,/small/small_13.html,0.39620000097784214,200,10332
14102750.454657,small,/small/small_12.html,0.4059189996041823,200,10332
14102760.790639,small,/small/small_22.html,0.42073300028278027,200,10332
14102771.028093,small,/small/small_15.html,0.40848099888535216,200,10332
14102781.174831,small,/small/small_09.html,0.4869419990427559,200,10332
14102791.298501,small,/small/small_20.html,0.40676499884284567,200,10332
14102801.641603,large,/large/large_20.html,0.9013090002554236,200,512093
14102811.977847999,small,/small/small_16.html,0.423850000515813,200,10332
14102822.210935,large,/large/large_15.html,0.8750890010560397,200,512093
14102832.441484999,small,/small/small_14.html,0.40941699990071356,200,10332
14102842.782787,small,/small/small_40.html,0.4658819998439867,200,10332
14102853.101774001,small,/small/small_31.html,0.408161000450491,200,10332
14102863.221841,small,/small/small_49.html,0.3956849996029632,200,10332
14102873.451277,small,/small/small_10.html,0.3999390009994386,200,10332
14102883.78931,large,/large/large_06.html,0.9411999999429099,200,512093
14102894.138725,small,/small/small_13.html,0.4749390009237686,200,10332
14102904.211799,large,/large/large_08.html,0.9337989995401585,200,512093
14102914.443723999,small,/small/small_18.html,0.4120700014027534,200,10332
14102924.78235,small,/small/small_44.html,0.4047089987579966,200,10332
14102929.958913,small,/small/small_38.html,0.4006409999419702,200,10332
14102940.184428,small,/small/small_22.html,0.40659200021764264,200,10332
14102950.383081999,small,/small/small_19.html,0.45342600060394034,200,10332
14102960.727784,large,/large/large_18.html,0.9442989994568052,200,512093
14102971.137985,small,/small/small_02.html,0.4237889988871757,200,10332
14102981.232534,small,/small/small_41.html,0.41070900078921113,200,10332
14102991.463875,small,/small/small_19.html,0.40807500045048073,200,10332
14103001.803012999,large,/large/large_12.html,0.9029789998749038,200,512093
14103012.143957,large,/large/large_17.html,0.971456998740905,200,512093
14103022.278595,small,/small/small_05.html,0.4199599989078706,200,10332
14103032.604388,small,/small/small_29.html,0.3948639987356728,200,10332
14103042.940762,large,/large/large_15.html,0.8924459998524981,200,512093
14103053.176308,small,/small/small_29.html,0.4145319999224739,200,10332
14103063.3048,small,/small/small_27.html,0.4058880003867671,200,10332
14103073.642812,small,/small/small_07.html,0.38852500074426644,200,10332
14103083.989347,small,/small/small_02.html,0.4250350011716364,200,10332
14103094.170653999,large,/large/large_10.html,0.9039870001288364,200,512093
14103104.290757999,small,/small/small_35.html,0.4122539994568797,200,10332
14103114.520454,large,/large/large_19.html,0.8895780010789167,200,512093
14103124.862223,small,/small/small_13.html,0.3973780003434513,200,10332
14103130.03351,large,/large/large_20.html,0.9324160000687698,200,512093
14103140.229502,small,/small/small_10.html,0.41675700049381703,200,10332
14103150.435146,large,/large/large_17.html,0.9528069986117771,200,512093
14103160.77727,large,/large/large_17.html,0.911647999600973,200,512093
14103171.152363,small,/small/small_41.html,0.4153360005147988,200,10332
14103181.252172,large,/large/large_06.html,0.942225000471808,200,512093
14103191.517317,small,/small/small_29.html,0.40819900095812045,200,10332
14103201.782444999,small,/small/small_11.html,0.4837380001845304,200,10332
14103212.13373,small,/small/small_38.html,0.40383499981544446,200,10332
14103222.232384,small,/small/small_40.html,0.4004660004284233,200,10332
14103232.560394,small,/small/small_05.html,0.40216700108430814,200,10332
14103242.897951001,small,/small/small_01.html,0.4132799986109603,200,10332
14103253.103812,small,/small/small_50.html,0.393157999496907,200,10332
14103263.225097,small,/small/small_50.html,0.39941999966686126,200,10332
14103273.347902,small,/small/small_35.html,0.39576099879923277,200,10332
14103283.559087,large,/large/large_20.html,0.9455109993723454,200,512093
