ts_ms,file_type,uri,latency_ms,status,bytes_received
10046668.875031,small,/small/small_24.html,2.558588999818312,200,10332
10046679.193194,small,/small/small_12.html,0.5070569986855844,200,10332
10046689.311856,large,/large/large_01.html,1.1714159991242923,200,512093
10046699.532132,small,/small/small_30.html,0.5043880009907298,200,10332
10046709.839889,large,/large/large_03.html,1.0302810005669016,200,512093
10046720.081533,small,/small/small_40.html,0.4761609998240601,200,10332
10046730.23941,large,/large/large_13.html,0.9526620015094522,200,512093
10046740.480831001,small,/small/small_29.html,0.48657200022717007,200,10332
10046750.72142,large,/large/large_14.html,0.9468080006627133,200,512093
10046761.056437999,small,/small/small_16.html,0.45227600094222,200,10332
10046771.260791,small,/small/small_09.html,0.4680919992097188,200,10332
10046781.492,small,/small/small_38.html,0.43671099956554826,200,10332
10046791.787421,small,/small/small_45.html,0.48597000022709835,200,10332
10046801.972832,small,/small/small_48.html,0.4630250004993286,200,10332
10046812.165208999,large,/large/large_10.html,0.9434509993297979,200,512093
10046822.296542,small,/small/small_15.html,0.4839789999095956,200,10332
10046832.630377,large,/large/large_14.html,0.9042809997481527,200,512093
10046842.975418,large,/large/large_09.html,0.9746310006448766,200,512093
10046853.221032001,large,/large/large_13.html,0.9777969989954727,200,512093
10046863.475895999,small,/small/small_03.html,0.4512449995672796,200,10332
10046873.733807001,small,/small/small_01.html,0.48653100020601414,200,10332
10046878.908829,large,/large/large_02.html,0.8943089997046627,200,512093
10046889.126718001,large,/large/large_16.html,0.952997999775107,200,512093
10046899.278551,small,/small/small_16.html,0.44934200013813097,200,10332
10046909.613844,small,/small/small_08.html,0.4554820006887894,200,10332
10046919.923394,large,/large/large_01.html,0.9570420006639324,200,512093
10046930.166842999,small,/small/small_38.html,0.44702999912260566,200,10332
10046940.404747,small,/small/small_13.html,0.470520000817487,200,10332
10046950.583674,small,/small/small_06.html,0.5392020011640852,200,10332
10046960.91761,small,/small/small_02.html,0.44196499948157,200,10332
10046971.183181,small,/small/small_37.html,0.47382099910464603,200,10332
10046981.318684,small,/small/small_13.html,0.408408999646781,200,10332
10046991.657725,small,/small/small_26.html,0.4427479998412309,200,10332
10047001.90876,small,/small/small_49.html,0.45750900062557776,200,10332
10047012.167869,small,/small/small_38.html,0.4280760003894102,200,10332
10047022.299767999,small,/small/small_39.html,0.4503700001805555,200,10332
10047032.634915,large,/large/large_02.html,0.8780570005910704,200,512093
10047042.912795,small,/small/small_36.html,0.47022299986565486,200,10332
10047053.128907,small,/small/small_10.html,0.43346700113033876,200,10332
10047063.256172,large,/large/large_19.html,0.8818500009510899,200,512093
10047073.457909001,large,/large/large_04.html,0.9678650003479561,200,512093
10047083.734521,large,/large/large_13.html,0.9420459991815733,200,512093
10047088.910023,large,/large/large_08.html,0.9561939987179358,200,512093
10047099.174101,small,/small/small_33.html,0.41965899981732946,200,10332
10047109.314016,small,/small/small_24.html,0.4626780009857612,200,10332
10047119.644191,large,/large/large_17.html,0.9524779998173472,200,512093
10047129.988410002,small,/small/small_50.html,0.44527700083563104,200,10332
10047140.232368,small,/small/small_23.html,0.4392440005176468,200,10332
10047150.363403,small,/small/small_38.html,0.4384029998618644,200,10332
10047160.713011,small,/small/small_14.html,0.4170539996266598,200,10332
10047171.054172,small,/small/small_37.html,0.44747999891114887,200,10332
10047181.218569,large,/large/large_13.html,0.9184480004478246,200,512093
10047191.454804,large,/large/large_11.html,0.9461650006414857,200,512093
10047201.761927,small,/small/small_08.html,0.4990680008631898,200,10332
10047211.960557,small,/small/small_29.html,0.43117700079164933,200,10332
10047222.167559002,small,/small/small_06.html,0.4419289998622844,200,10332
10047232.292679,small,/small/small_19.html,0.40113400064001326,200,10332
10047242.630879,small,/small/small_04.html,0.46478300100716297,200,10332
