ts_ms,file_type,uri,latency_ms,status,bytes_received
21159949.825018,small,/small/small_06.html,2.208548001362942,200,10332
21159952.558398,large,/large/large_17.html,1.1525459995027632,200,512093
21159954.788066,small,/small/small_24.html,0.43908899897360243,200,10332
21159955.96452,small,/small/small_07.html,0.43324199941707775,200,10332
21159958.172356002,large,/large/large_15.html,0.8809710016066674,200,512093
21159960.574961998,small,/small/small_19.html,0.4320579973864369,200,10332
21159962.745974,large,/large/large_14.html,0.928731999010779,200,512093
21159964.072699,small,/small/small_04.html,0.4464509984245524,200,10332
21159966.235802,small,/small/small_05.html,0.4263949995220173,200,10332
21159968.472093,small,/small/small_24.html,0.4141409990552347,200,10332
21159970.806172002,small,/small/small_28.html,0.47078999705263413,200,10332
21159971.907708,large,/large/large_19.html,0.9012519985844847,200,512093
21159974.249670997,small,/small/small_46.html,0.4270000026735943,200,10332
21159976.476168003,small,/small/small_03.html,0.4244250012561679,200,10332
21159978.737439,large,/large/large_20.html,0.9116340006585233,200,512093
21159980.020846,small,/small/small_27.html,0.42822499744943343,200,10332
21159982.144621,small,/small/small_01.html,0.4440160009835381,200,10332
21159984.293407,small,/small/small_24.html,0.4230819977237843,200,10332
21159986.625006,small,/small/small_38.html,0.41703099850565195,200,10332
21159988.964082,small,/small/small_21.html,0.4217709974909667,200,10332
21159990.03248,small,/small/small_11.html,0.4151249995629769,200,10332
21159992.19081,large,/large/large_01.html,0.8964560001913924,200,512093
21159994.541778,small,/small/small_14.html,0.45547500121756457,200,10332
21159996.829143003,small,/small/small_20.html,0.42934399971272796,200,10332
21159997.993512,small,/small/small_33.html,0.43136599924764596,200,10332
21160000.229221,small,/small/small_20.html,0.4241269998601638,200,10332
21160002.451707996,small,/small/small_19.html,0.4214040018268861,200,10332
21160004.710401002,small,/small/small_14.html,0.4185550023976248,200,10332
21160005.886514,small,/small/small_14.html,0.4303290006646421,200,10332
21160008.171545,small,/small/small_41.html,0.41976599823101424,200,10332
21160010.300998002,small,/small/small_29.html,0.4174650021013804,200,10332
21160012.541268,small,/small/small_42.html,0.43960399852949195,200,10332
21160014.88068,small,/small/small_42.html,0.4274620005162433,200,10332
21160016.054452002,small,/small/small_29.html,0.4113690010854043,200,10332
21160018.248633,small,/small/small_22.html,0.4026930000691209,200,10332
21160020.470443,small,/small/small_07.html,0.4192099986539688,200,10332
21160022.772624,large,/large/large_03.html,0.883049000549363,200,512093
21160023.997841,small,/small/small_41.html,0.4234489970258437,200,10332
21160026.235788,small,/small/small_16.html,0.41834800140350126,200,10332
21160028.367893,large,/large/large_10.html,0.9329380009148736,200,512093
21160030.804207,small,/small/small_37.html,0.4615299985744059,200,10332
21160031.896483,small,/small/small_19.html,0.42875999861280434,200,10332
21160034.102196,small,/small/small_08.html,0.41750099990167655,200,10332
21160036.228672,small,/small/small_28.html,0.41611499909777194,200,10332
21160038.457282,small,/small/small_35.html,0.39933099833433516,200,10332
21160040.720535997,large,/large/large_01.html,0.8836250017338898,200,512093
21160041.940741003,small,/small/small_05.html,0.4165780010225717,200,10332
21160044.203167,small,/small/small_04.html,0.46163799925125204,200,10332
21160046.38145,small,/small/small_11.html,0.42460300028324127,200,10332
21160048.644665,small,/small/small_21.html,0.46043299880693667,200,10332
21160050.986937,small,/small/small_06.html,0.41260400030296296,200,10332
21160052.14181,large,/large/large_02.html,0.9312600013799965,200,512093
21160054.558281,small,/small/small_16.html,0.40798400004860014,200,10332
21160056.900822002,small,/small/small_37.html,0.40289900061907247,200,10332
21160058.070734996,small,/small/small_23.html,0.4063710002810694,200,10332
21160060.230423,small,/small/small_18.html,0.40145800085156225,200,10332
21160062.493611,large,/large/large_02.html,0.9945929996320046,200,512093
21160063.839835,large,/large/large_18.html,0.8742559984966647,200,512093
21160066.177123,small,/small/small_13.html,0.43355600064387545,200,10332
21160068.408212,small,/small/small_20.html,0.40406800326309167,200,10332
21160070.744219,small,/small/small_18.html,0.40045900095719844,200,10332
21160071.921974,small,/small/small_02.html,0.4150120003032498,200,10332
21160074.168947,small,/small/small_29.html,0.4075580000062473,200,10332
21160076.395961,small,/small/small_49.html,0.40548400284023955,200,10332
21160078.657637,large,/large/large_12.html,0.9604740007489454,200,512093
21160079.998376,large,/large/large_12.html,0.9525420027785003,200,512093
21160082.462736998,large,/large/large_12.html,0.9212299992213957,200,512093
